id;version;code;name
1;1;30 JOURS CONTRE DOCUMENTS;30 JOURS CONTRE DOCUMENTS
2;1;60 JOURS CONTRE DOCUMENTS;60 JOURS CONTRE DOCUMENTS
3;1;90 JOURS CONTRE DOCUMENTS;90 JOURS CONTRE DOCUMENTS
4;1;BILLET A ORDRE A 30 JOURS DATE DE FACTURE;BILLET A ORDRE A 30 JOURS DATE DE FACTURE
5;1;BILLET A ORDRE A 30 JOURS FIN DE MOIS;BILLET A ORDRE A 30 JOURS FIN DE MOIS
6;1;BILLET A ORDRE A 30 JOURS FIN DE MOIS LE 10;BILLET A ORDRE A 30 JOURS FIN DE MOIS LE 10
7;1;BILLET A ORDRE A 30 JOURS FIN DE MOIS LE 15;BILLET A ORDRE A 30 JOURS FIN DE MOIS LE 15
8;1;BILLET A ORDRE A 40 JOURS FIN DE MOIS;BILLET A ORDRE A 40 JOURS FIN DE MOIS
9;1;BILLET A ORDRE A 45 JOURS FIN DE MOIS;BILLET A ORDRE A 45 JOURS FIN DE MOIS
10;1;BILLET A ORDRE A 60 JOURS DATE DE FACTURE;BILLET A ORDRE A 60 JOURS DATE DE FACTURE
11;1;BILLET A ORDRE A 60 JOURS FIN DE MOIS;BILLET A ORDRE A 60 JOURS FIN DE MOIS
12;1;BILLET A ORDRE A 60 JOURS FIN DE MOIS LE 05;BILLET A ORDRE A 60 JOURS FIN DE MOIS LE 05
13;1;BILLET A ORDRE A 60 JOURS FIN DE MOIS LE 10;BILLET A ORDRE A 60 JOURS FIN DE MOIS LE 10
14;1;BILLET A ORDRE A 60 JOURS FIN DE MOIS LE 15;BILLET A ORDRE A 60 JOURS FIN DE MOIS LE 15
15;1;BILLET A ORDRE A 60 JOURS FIN DE MOIS LE 20;BILLET A ORDRE A 60 JOURS FIN DE MOIS LE 20
16;1;BILLET A ORDRE A 90 JOURS DATE DE FACTURE;BILLET A ORDRE A 90 JOURS DATE DE FACTURE
17;1;BILLET A ORDRE A 90 JOURS FIN DE MOIS;BILLET A ORDRE A 90 JOURS FIN DE MOIS
18;1;BILLET A ORDRE A 90 JOURS FIN DE MOIS LE 10;BILLET A ORDRE A 90 JOURS FIN DE MOIS LE 10
19;1;BILLET A ORDRE A 90 JOURS FIN DE MOIS LE 15;BILLET A ORDRE A 90 JOURS FIN DE MOIS LE 15
20;1;BILLET A ORDRE A 90 JOURS FIN DE MOIS LE 20;BILLET A ORDRE A 90 JOURS FIN DE MOIS LE 20
21;1;BILLET A ORDRE A 90 JOURS FIN DE MOIS LE 5;BILLET A ORDRE A 90 JOURS FIN DE MOIS LE 5
22;1;CHEQUE A 30 JOURS FIN DE MOIS LE 10;CHEQUE A 30 JOURS FIN DE MOIS LE 10
23;1;CHEQUE A 30 JOURS FIN DE MOIS LE 15;CHEQUE A 30 JOURS FIN DE MOIS LE 15
24;1;CHEQUE A 60 JOURS FIN DE MOIS LE 10;CHEQUE A 60 JOURS FIN DE MOIS LE 10
25;1;CHEQUE A 60 JOURS FIN DE MOIS LE 15;CHEQUE A 60 JOURS FIN DE MOIS LE 15
26;1;CHEQUE A 90 JOURS FIN DE MOIS LE 10;CHEQUE A 90 JOURS FIN DE MOIS LE 10
27;1;CHEQUE A 30 JOURS DATE DE FACTURE;CHEQUE A 30 JOURS DATE DE FACTURE
28;1;CHEQUE A 30 JOURS FIN DE MOIS;CHEQUE A 30 JOURS FIN DE MOIS
29;1;CHEQUE A 40 JOURS FIN DE MOIS;CHEQUE A 40 JOURS FIN DE MOIS
30;1;CHEQUE A 45 JOURS DATE DE FACTURE;CHEQUE A 45 JOURS DATE DE FACTURE
31;1;CHEQUE A 45 JOURS FIN DE MOIS;CHEQUE A 45 JOURS FIN DE MOIS
32;1;CHEQUE A 60 JOURS DATE DE FACTURE;CHEQUE A 60 JOURS DATE DE FACTURE
33;1;CHEQUE A 60 JOURS FIN DE MOIS LE 20;CHEQUE A 60 JOURS FIN DE MOIS LE 20
34;1;CHEQUE A 60 JOURS FIN DE MOIS;CHEQUE A 60 JOURS FIN DE MOIS
35;1;CHEQUE A 90 JOURS DATE DE FACTURE;CHEQUE A 90 JOURS DATE DE FACTURE
36;1;CHEQUE A 90 JOURS FIN DE MOIS;CHEQUE A 90 JOURS FIN DE MOIS
37;1;CHEQUE AU COMPTANT;CHEQUE AU COMPTANT
38;1;CHEQUE FIN DE MOIS;CHEQUE FIN DE MOIS
39;1;COMPTANT CONTRE DOCUMENTS;COMPTANT CONTRE DOCUMENTS
40;1;COMPTANT CONTRE DOCUMENTS CASH AGAINST DOCUMENTS;COMPTANT CONTRE DOCUMENTS CASH AGAINST DOCUMENTS
41;1;CONTRE REMBOURSEMENT;CONTRE REMBOURSEMENT
42;1;ESCOMPTE 3 %;ESCOMPTE 3 %
43;1;LCR **NON ACCEPTEE**A 60 JOURS FIN DE MOIS LE 10;LCR **NON ACCEPTEE**A 60 JOURS FIN DE MOIS LE 10
44;1;LCR NON ACCEPTEE A 30 JOURS FIN DE MOIS;LCR NON ACCEPTEE A 30 JOURS FIN DE MOIS
45;1;LETTRE DE CREDIT A 120 JOURS;LETTRE DE CREDIT A 120 JOURS
46;1;LETTRE DE CREDIT A 180 JOURS;LETTRE DE CREDIT A 180 JOURS
47;1;LETTRE DE CREDIT A 30 JOURS;LETTRE DE CREDIT A 30 JOURS
48;1;LETTRE DE CREDIT A 60 JOURS;LETTRE DE CREDIT A 60 JOURS
49;1;LETTRE DE CREDIT A 90 JOURS;LETTRE DE CREDIT A 90 JOURS
50;1;LETTRE DE CREDIT AU COMPTANT;LETTRE DE CREDIT AU COMPTANT
51;1;REGLEMENT A LA COMMANDE (pour tous modes de paiement);REGLEMENT A LA COMMANDE (pour tous modes de paiement)
52;1;REGLEMENT AVANT EXPEDITION (pour tous modes de paiement);REGLEMENT AVANT EXPEDITION (pour tous modes de paiement)
53;1;TRAITE A 45 JOURS DATE DE FACTURE;TRAITE A 45 JOURS DATE DE FACTURE
54;1;TRAITE 90 JOURS FIN DE MOIS LE05;TRAITE 90 JOURS FIN DE MOIS LE05
55;1;TRAITE A 30 JOURS DATE DE FACTURE;TRAITE A 30 JOURS DATE DE FACTURE
56;1;TRAITE A 30 JOURS FIN DE MOIS;TRAITE A 30 JOURS FIN DE MOIS
57;1;TRAITE A 30 JOURS FIN DE MOIS LE 10;TRAITE A 30 JOURS FIN DE MOIS LE 10
58;1;TRAITE A 30 JOURS FIN DE MOIS LE 15;TRAITE A 30 JOURS FIN DE MOIS LE 15
59;1;TRAITE A 45 JOURS FIN DE MOIS;TRAITE A 45 JOURS FIN DE MOIS
60;1;TRAITE A 60 JOURS DATE DE FACTURE;TRAITE A 60 JOURS DATE DE FACTURE
61;1;TRAITE A 60 JOURS FIN DE MOIS;TRAITE A 60 JOURS FIN DE MOIS
62;1;TRAITE A 60 JOURS FIN DE MOIS LE 05;TRAITE A 60 JOURS FIN DE MOIS LE 05
63;1;TRAITE A 60 JOURS FIN DE MOIS LE 10;TRAITE A 60 JOURS FIN DE MOIS LE 10
64;1;TRAITE A 60 JOURS FIN DE MOIS LE 15;TRAITE A 60 JOURS FIN DE MOIS LE 15
65;1;TRAITE A 60 JOURS FIN DE MOIS LE 20;TRAITE A 60 JOURS FIN DE MOIS LE 20
66;1;TRAITE A 70 JOURS DATE DE FACTURE;TRAITE A 70 JOURS DATE DE FACTURE
67;1;TRAITE A 90 JOURS DATE DE FACTURE;TRAITE A 90 JOURS DATE DE FACTURE
68;1;TRAITE A 90 JOURS FIN DE MOIS;TRAITE A 90 JOURS FIN DE MOIS
69;1;TRAITE A 90 JOURS FIN DE MOIS LE 10;TRAITE A 90 JOURS FIN DE MOIS LE 10
70;1;TRAITE A 90 JOURS FIN DE MOIS LE 15;TRAITE A 90 JOURS FIN DE MOIS LE 15
71;1;TRAITE A 90 JOURS FIN DE MOIS LE 20;TRAITE A 90 JOURS FIN DE MOIS LE 20
72;1;TRAITE AU COMPTANT;TRAITE AU COMPTANT
73;1;VIREMENT A 120 JOURS FIN DE MOIS;VIREMENT A 120 JOURS FIN DE MOIS
74;1;VIREMENT A 30 JOURS FIN DE MOIS;VIREMENT A 30 JOURS FIN DE MOIS
75;1;VIREMENT A 30 JOURS FIN DE MOIS LE 10;VIREMENT A 30 JOURS FIN DE MOIS LE 10
76;1;VIREMENT A 30 JOURS FIN DE MOIS LE 15;VIREMENT A 30 JOURS FIN DE MOIS LE 15
77;1;VIREMENT A 45 JOURS DATE DE FACTURE;VIREMENT A 45 JOURS DATE DE FACTURE
